division,idno,subjects,name,degree
First ,01RJ026200,POLITICAL SC.                                                                                                                                         ,Dr. Sudarsan Sethi,P.G.
First ,01RJ026200,PUBLIC SERVICE                                                                                                                                        ,Dr. Sudarsan Sethi,MBA(UK)                                           
First ,01RJ026200,POLITICAL STUDIES                                                                                                                                     ,Dr. Sudarsan Sethi,M.PHIL                                            
Second ,01RJ026200,POLITICAL SC.                                     ENGLISH                                           HISTORY                                           ,Dr. Sudarsan Sethi,GRADUATE                                          
First ,01RJ026201,CHEMISTRY                                                                                                                                             ,Ms. Usha Sharma,GRADUATE                                          
First ,01RJ026202,ELECTRICAL ENGG                                                                                                    ,Shri Madhukar Gupta,B E                                               
First ,01RJ026202,LAW                                                                                                                                                   ,Shri Madhukar Gupta,LL.B.                                             
First ,01RJ026203,LAW                                                                                                                                                   ,Dr.(Ms.) Kiran Soni Gupta,LL.B.                                             
First ,01RJ026203,SOCIOLOGY                                                                                                                                             ,Dr.(Ms.) Kiran Soni Gupta,P.G.
Ordinary ,01RJ026203,N.A.                                                                                                                                                  ,Dr.(Ms.) Kiran Soni Gupta,Ph.D
First ,01RJ026203,ENGLISH                                           SOCIOLOGY                                         PUBLIC ADMN                                       ,Dr.(Ms.) Kiran Soni Gupta,GRADUATE                                          
First ,01RJ026300,ECONOMICS                                         HISTORY                                           ENGLISH                                           ,Shri Yaduvendra Mathur,GRADUATE                                          
First ,01RJ026300,BUSINESS ADMN.                                                                                                                                        ,Shri Yaduvendra Mathur,P.G.
First ,01RJ026400,GEOLOGY                                                                                                                                               ,Shri Deepak Upreti,P.G.
First ,01RJ026400,GEOLOGY                                           BOTANY                                            CHEMISTRY                                         ,Shri Deepak Upreti,GRADUATE                                          
First ,01RJ026500,CHEMISTRY                                         PHYSICS                                           MATHEMATICS                                       ,Shri Shailendra Kumar Aggarwal,GRADUATE                                          
First ,01RJ026500,CHEMISTRY                                                                                                                                             ,Shri Shailendra Kumar Aggarwal,P.G.
Second ,01RJ026600,MARINE.ENGG.                                                                                                                                          ,Shri Sanjay Dixit,GRADUATE                                          
First ,01RJ026800,ENGLISH LIT                                                                                                                                           ,Ms. Neel Kamal Darbari,P.G.
First ,01RJ026800,ENGLISH                                           POLITICAL SC.                                     HISTORY                                           ,Ms. Neel Kamal Darbari,GRADUATE                                          
Ordinary ,01RJ026800,BUSINESS ADMN.                                                                                                                                        ,Ms. Neel Kamal Darbari,MBA                                               
Second ,01RJ027000,ENGLISH                                           HISTORY                                           POLITICAL SC.                                     ,Shri Prem Singh Mehra,GRADUATE                                          
Second ,01RJ027000,POLITICAL SC.                                                                                                                                         ,Shri Prem Singh Mehra,P.G.
First ,01RJ027100,ENGLISH LIT                                                                                                                                           ,Ms. Veenu Gupta,P.G.
First ,01RJ027100,ENGLISH LIT                                       ECONOMICS                                         PSYCHOLOGY                                        ,Ms. Veenu Gupta,GRADUATE                                          
First ,01RJ027200,MANAGEMENT                                                                                                                                            ,Shri Subodh Agarwal,PG DIPLOMA                                        
First ,01RJ027200,ECONOMICS                                                                                                                                             ,Shri Subodh Agarwal,P.G.
First ,01RJ027200,CIVIL ENGG                                                                                                                                            ,Shri Subodh Agarwal,B TECH                                            
First ,01RJ027200,PUBLIC POLICY                                                                                                                                         ,Shri Subodh Agarwal,"P.G.,Woodrow Wilson School , Princeton University ( USA) Princeton University "
First ,01RJ027300,COMMERCE                                                                                                                                              ,Shri Pawan Kumar Goyal,GRADUATE                                          
First ,01RJ027300,ACCOUNTANCY                                                                                                                                           ,Shri Pawan Kumar Goyal,P.G.
Second ,01RJ027400,MEDICINE                                          SURGERY                                                                                             ,Shri Manjit Singh,GRADUATE                                          
First ,01RJ027500,HINDI                                             HISTORY                                           POLITICAL SC.                                     ,Shri Rajeshwar Singh,GRADUATE                                          
Second ,01RJ027500,MODERN IND.HIST                                                                                                                                       ,Shri Rajeshwar Singh,P.G.
First ,01RJ027600,POLITICAL SC.                                                                                                                                         ,Ms. Shubhra Singh,"P.G.,Meerut "
Ordinary ,01RJ027600,COMPUTER SYSTEM                                                                                                                                       ,Ms. Shubhra Singh,DIPLOMA                                           
First ,01RJ027600,POLITICAL SC.                                                                                                                                         ,Ms. Shubhra Singh,"GRADUATE                                          ,Meerut "
First with Distinction,01RJ027700,CHEMICAL ENGG                                                                                                                                         ,Shri V Srinivas,GRADUATE                                          
First with Distinction,01RJ027700,CHEMICAL ENGG                                                                                                                                         ,Shri V Srinivas,P.G.
First ,01RJ027800,ECONOMICS                                                                                                                                             ,Shri Niranjan Kumar Arya,P.G.
Ordinary ,01RJ027800,COMMERCE                                                                                                                                              ,Shri Niranjan Kumar Arya,GRADUATE                                          
Second ,01RJ027801,ECONOMICS                                                                                                                                             ,Shri Samir Singh Chandel,GRADUATE                                          
Second ,01RJ027801,ECONOMICS                                                                                                                                             ,Shri Samir Singh Chandel,P.G.
First ,01RJ027803,ELECTRICAL ENGG                                                                                                    ,Shri Rohit Kumar Singh,B TECH                                            
 ,01RJ027803,COMPUTER TECH                                                                                                                                         ,Shri Rohit Kumar Singh,M.Sc.
 ,01RJ027803,GERMAN                                                                                                                                                ,Shri Rohit Kumar Singh,DIPLOMA                                           
First ,01RJ027900,COMPUTER SC                                                                                                                                           ,Shri Sanjay Malhotra,GRADUATE                                          
First ,01RJ028100,MECH.ENGG.                                                                                                                                            ,Shri R Venkateswaran,B TECH                                            
Ordinary ,01RJ028100,BUSINESS ADMN.                                                                                                                                        ,Shri R Venkateswaran,P.G.
Second ,01RJ028100,LAW                                                                                                                                                   ,Shri R Venkateswaran,LL.B.                                             
First ,01RJ028200,MANAGEMENT                                                                                                                                            ,Shri Manoj Sharma,P.G.
First ,01RJ028300,ELECTRONICS                                       COMMN.ENGG                                                                                          ,Shri Sudhansh Pant,GRADUATE                                          
First ,01RJ028400,GEOLOGY                                                                                                                                               ,Shri Rajat Kumar Mishra,P.G.
First ,01RJ028500,ELECTRICAL ENGG                                                                                                    ,Shri Abhay Kumar,GRADUATE                                          
First ,01RJ028600,ELECTRONICS                                                                                                                                           ,Shri Akhil Arora,B E                                               
 ,01RJ028800,FOUNDATION ENGG                                                                                                                                       ,Shri Tanmay Kumar,"M TECH                                            ,IIT, Delhi "
 ,01RJ028800,CIVIL ENGG                                                                                                                                            ,Shri Tanmay Kumar,"B TECH                                            ,IIT, Delhi "
First ,01RJ028801,CIVIL ENGG                                                                                                                                            ,Shri Shikhar Agarwal,B TECH                                            
Second ,01RJ029000,POLITICAL SC.                                                                                                                                         ,Ms. Aparna Arora,P.G.
First ,01RJ028900,MECH.ENGG.                                                                                                                                            ,Shri Alok,B TECH                                            
First ,01RJ029001,ELECTRICAL ENGG                                                                                                    ,Shri Sandeep Verma,B TECH                                            
First ,01RJ029001,RADAR ENGG                                        COMMN.ENGG                                                                                          ,Shri Sandeep Verma,M TECH                                            
First ,01RJ029100,COMPUTER SC                                       ENGINEERIING                                                                                        ,Shri Kuldeep Ranka,B TECH                                            
First ,01RJ029200,HISTORY                                                                                                                                               ,Ms. Sreya Guha,"P.G.,Jawaharlal Nehru University New Delhi"
First ,01RJ029200,ANCIENT HISTORY                                                                                                                                       ,Ms. Sreya Guha,"M.PHIL                                            ,Jawaharlal Nehru University New Delhi"
 ,01RJ029200,MANAGEMENT                                                                                                                                            ,Ms. Sreya Guha,"NOT AVAILABLE                                     ,Foreign and Commonwealth Office University of Brandford "
 ,01RJ029200,HUMAN RIGHTSLABOUR                                                                                              ,Ms. Sreya Guha,"PG DIPLOMA                                        ,National Law School Of India University Bangalore"
Second ,01RJ029300,HISTORY (HONS)                                                                                                                                        ,Ms. Roli Singh,"B.A. (Hons),Lady Shriram College Delhi University "
Second ,01RJ029300,HISTORY                                                                                                                                               ,Ms. Roli Singh,"MA,Delhi University "
First ,01RJ029400,CIVIL ENGG                                                                                                                                            ,Shri Anand Kumar,B TECH                                            
First ,01RJ029500,RADAR ENGG                                                                                                                                            ,Shri Naresh Pal Gangwar,M TECH                                            
First ,01RJ029600,PHYSICS                                           MATHEMATICS                                       CHEMISTRY                                         ,Shri Praveen Gupta,GRADUATE                                          
First ,01RJ029600,PHYSICS                                                                                                                                               ,Shri Praveen Gupta,P.G.
First ,01RJ029700,ELECTRONICS                                       COMMN.ENGG                                                                                          ,Shri Sawant Bhasker Atmaram,B E                                               
Second ,01RJ029800,PHYSICS                                           MATHEMATICS                                       CHEMISTRY                                         ,Shri Rajeev Singh Thakur,GRADUATE                                          
First ,01RJ029800,ECONOMICS                                                                                                                                             ,Shri Rajeev Singh Thakur,P.G.
Second ,01RJ029900,ECONOMICS                                         AUDITING                                          MATHEMATICS                                       ,Shri Ashwini Bhagat,GRADUATE                                          
Ordinary ,01RJ029900,COST ACCT                                                                                                                                             ,Shri Ashwini Bhagat,DIPLOMA                                           
First ,01RJ030000,HISTORY                                           POLITICAL SC.                                     PHILOSOPHY                                        ,Shri Kunji Lal Meena,GRADUATE                                          
First ,01RJ030000,HISTORY                                                                                                                                               ,Shri Kunji Lal Meena,P.G.
First ,01RJ030100,CIVIL ENGG                                                                                                                                            ,Shri Ajitabh Sharma,B TECH                                            
First ,01RJ030200,ELECTRICAL ENGG                                                                                                    ,Shri Alok Gupta,B TECH                                            
First ,01RJ030200,COMMN.ENGG                                        RADAR ENGG                                                                                          ,Shri Alok Gupta,M TECH                                            
First ,01RJ030300,CIVIL ENGG                                                                                                                                            ,Shri Dinesh Kumar,B TECH                                            
First ,01RJ030400,CIVIL ENGG                                                                                                                                            ,Shri Rajesh Kumar Yadav,B TECH                                            
First ,01RJ030500,ELECTRONICS                                       ELECTRICAL ENGGCOMMUNICATION                                     ,Shri Naveen Mahajan,B E                                               
First ,01RJ030600,ELECTRONICS                                                                                                                                           ,Shri Hemant Kumar Gera,B TECH                                            
First ,01RJ030700,ECONOMICS                                         HISTORY                                           BUSINESS ADMN.                                    ,Ms. Gayatri A Rathore,GRADUATE                                          
Second ,01RJ030800,MATHEMATICS                                                                                                                                           ,Shri Rohit Kumar,GRADUATE                                          
Second ,01RJ030800,MATHEMATICS                                                                                                                                           ,Shri Rohit Kumar,P.G.
First ,01RJ030900,ELECTRONICS                                       COMMUNICATION                                                                                       ,Shri Vaibhav Galriya,B E                                               
First ,01RJ030900,MANAGEMENT&SYSTEM                                                                                                                                     ,Shri Vaibhav Galriya,M TECH                                            
First ,01RJ031000,MECH.ENGG.                                                                                                                                            ,Shri Subir Kumar,B E                                               
First ,01RJ031100,ELECTRONICS                                                                                                                                           ,Shri Tatipudi Ravikanth,B E                                               
First ,01RJ031101,HISTORY                                                                                                                                               ,Ms. Mugdha Sinha,GRADUATE                                          
First ,01RJ031101,INTNL RELATIONS                                                                                                                                       ,Ms. Mugdha Sinha,P.G.
First ,01RJ031300,CIVIL ENGG                                                                                                                                            ,Shri Bhawani Singh Detha,B E                                               
Second ,01RJ031400,ELECTRONICS ENGG                                  POWER SYS ENGG                                                                                      ,Shri Vikas Sitaramji Bhale,B E                                               
First ,01RJ031400,INTRNL BUSINESS                                                                                                                                       ,Shri Vikas Sitaramji Bhale,P.G.
First ,01RJ031500,N.A.                                                                                                                                                  ,Ms. Manju Rajpal,GRADUATE                                          
First ,01RJ031500,ECONOMICS                                                                                                                                             ,Ms. Manju Rajpal,P.G.
First ,01RJ031600,CHEMISTRY                                         MATHEMATICS                                       PHYSICS                                           ,Shri Debasish Prusty,"GRADUATE                                          ,Berhampur University Orissa"
First ,01RJ031600,ENVIRONMNTL SC.                                                                                                                                       ,Shri Debasish Prusty,"P.G.,J N U New Delhi"
First ,01RJ031600,ENVIRONMNTL SC.                                   MARINE SCIENCE                                                                                      ,Shri Debasish Prusty,"M.PHIL                                            ,J N U New Delhi"
First ,01RJ031700,ENGLISH                                           SANSKRIT                                          ECONOMICS                                         ,Shri Krishna Kant Pathak,GRADUATE                                          
First ,01RJ031700,PHILOSOPHY                                                                                                                                            ,Shri Krishna Kant Pathak,P.G.
First ,01RJ031800,ECONOMICS                                         ENGLISH                                           ACCOUNTANCY                                       ,Shri Naveen Jain,GRADUATE                                          
Second ,01RJ031800,N.A.                                                                                                                                                  ,Shri Naveen Jain,COMPANY SECRETARY                                 
First ,01RJ031900,MEDICINE                                                                                                                                              ,Dr. Prithvi Raj,MBBS                                              
First ,01RJ032000,ECONOMICS                                         POLITICAL SC.                                                                                       ,Shri Teli Ashutosh A,GRADUATE                                          
First ,01RJ032000,MARKETING                                         HUMAN RES.MGT                                                                                       ,Shri Teli Ashutosh A,PG DIPLOMA                                        
First ,01RJ032100,HISTORY                                           ECONOMICS                                         POLITICAL SC.                                     ,Shri Bhanu Prakash Yeturu,BA
Second ,01RJ032101,ECONOMICS                                                                                                                                             ,Shri Siddharth Mahajan,"B.A. (Hons),DELHI "
Second ,01RJ032101,LAW                                               MANAGEMENT                                                                                          ,Shri Siddharth Mahajan,"LLM                                               ,INDIAN LAW MGT "
Second ,01RJ032101,LAW                                                                                                                                                   ,Shri Siddharth Mahajan,"LL.B.                                             ,DELHI "
Second ,01RJ032200,MEDICINE                                          SURGERY                                                                                             ,Dr. Pritam B Yashvant,"MBBS                                              ,BANGALORE "
First ,01RJ032300,ELECTRONICS                                       TELECOMM ENGG                                                                                       ,Shri Krishna Kunal,"B E                                               ,AURANGABAD "
First ,01RJ032400,ZOOLOGY                                           BOTANY                                            PSYCHOLOGY                                        ,Shri Niraj Kumar Pawan,"B.Sc.,RAJASTHAN "
First ,01RJ032400,CLIC PSYCHOLOGY                                                                                                                                       ,Shri Niraj Kumar Pawan,"M.Sc.,RAJASTHAN "
First ,01RJ032500,COMPUTER SC                                                                                                                                           ,Shri Ambrish Kumar,"B TECH                                            ,IIT,BOMBAY "
First ,01RJ032600,CIVIL ENGG                                                                                                                                            ,Shri Ravi Jain,"B E                                               ,JODHPUR "
First ,01RJ032600,MARKETING                                                                                                                                             ,Shri Ravi Jain,"MBA                                               ,JODHPUR "
First ,01RJ032700,MEDICINE                                          SURGERY                                                                                             ,Dr. Ravi Kumar Surpur,"MBBS                                              ,HUBLI "
First ,01RJ032800,MEDICINE                                          SURGERY                                                                                             ,Dr. Samit Sharma,"MBBS                                              ,RAJASTHAN "
Pass,01RJ032800,PAEDIATRICS                                                                                                                                           ,Dr. Samit Sharma,"M.D.,RAJASTHAN "
 ,01RJ033000,MEDICINE                                          SURGERY                                                                                             ,Dr.(Ms.) Arushi Choudhary,"MBBS                                              ,U/Rajasthan Jaipur"
First ,01RJ033100,CHEMISTRY                                         BOTANY                                            ZOOLOGY                                           ,Shri Joga Ram,"B.Sc.,MDS Univ. Ajmer"
First with Distinction,01RJ033200,ELECTRONICS                                       COMMN.ENGG                                                                                          ,Shri Punam,"B E                                               ,Patna Univ. "
 ,01RJ033300,MECH.ENGG.                                                                                                                                            ,Shri Purna Chandra Kishan,"B TECH                                            ,IIT Kharagpur "
First ,01RJ033400,POLITICAL SC.                                     PUBLIC ADMN                                       HISTORY                                           ,Shri Pallakonda Ramesh,"BA,Nizam College Hyderabad"
First ,01RJ033400,PUBLIC ADMN                                                                                                                                           ,Shri Pallakonda Ramesh,"MA,Osmania University Hyderabad"
First ,01RJ033401,ACCOUNTANCY                                       TAXATION                                          ECONOMICS                                         ,Shri Rajan Vishal,"B.Com.(Hons),GGDSD College Punjab University Chandigarh"
First ,01RJ033401,FINCL MGT                                         INTNL TRADE.                                      ECONOMETRICS                                      ,Shri Rajan Vishal,"MBA                                               ,Deptt.of Business Economics Univerity of Delhi Delhi"
First ,01RJ033401,MICRO &MACRO ECO                                  BANKING                                           ECONOMICS                                         ,Shri Rajan Vishal,"MA,Deptt.of Economics Panjab University Chandigarh"
First with Distinction,01RJ033401,PUBLIC POLICY                                     PUBLIC POLICY                                                                                       ,Shri Rajan Vishal,"MA,IGNO University New Delhi"
First ,01RJ033402,BOTANY                                            ZOOLOGY                                           ANTHROPOLOGY                                      ,Ms. Archana Singh,"B.Sc.,University of Allahabad "
First ,01RJ033402,BOTANY                                                                                                                                                ,Ms. Archana Singh,"M.Sc.,Univeristy of Allahabad "
First ,01RJ033500,                                                                                                                                                      ,Shri Gaurav Goyal,"B.Com.(Hons),University of Delhi Delhi"
 ,01RJ033600,ELECTRICAL ENGG                                                                                                    ,Shri Rohit Gupta,"B TECH                                            ,IIT DELHI IIT DELHI "
Third,01RJ033700,ECONOMICS                                                                                                                                             ,Ms. Arti Dogra,"B.A. (Hons),LADY SHRIRAM COLL U/DELHI "
First ,01RJ033700,ECONOMICS                                                                                                                                             ,Ms. Arti Dogra,"MA,D.A.V. (PG) U/HNB GARHWAL "
Second ,01RJ033800,HISTORY                                                                                                                                               ,Shri V Sarvana Kumar,"MA,Madurai Kamraj Univ. "
Second ,01RJ033800,MECH.ENGG.                                                                                                                                            ,Shri V Sarvana Kumar,"B E                                               ,Madurai Kamaj University "
First with Distinction,01RJ034000,SOCIOLOGY                                                                                                                                             ,Dr. Bishnu Charan Mallick,"B.A. (Hons),Utkal University Bhuvaneshwar"
 ,01RJ034000,SOCIOLOGY                                                                                                                                             ,Dr. Bishnu Charan Mallick,"MA,JN University New Delhi"
 ,01RJ034000,ECOLOGY                                                                                                                                               ,Dr. Bishnu Charan Mallick,"M.PHIL                                            ,JN University New Delhi"
First ,01RJ034100,ART                                                                                                                                                   ,Ms. Tina Kumar,"BA,MDSarawati Univ. Ajmer"
First ,01RJ034100,ECONOMICS                                                                                                                                             ,Ms. Tina Kumar,"MA,MD Saraswati Univ. Ajmer"
Second ,01RJ034200,SOCIOLOGY                                                                                                                                             ,Ms. Anandhi,"B.A. (Hons),Delhi University "
First ,01RJ034200,LAW                                                                                                                                                   ,Ms. Anandhi,"LL.B.                                             ,Law Department Delhi University "
First ,01RJ034201,SCIENCE                                                                                                                                               ,Ms. Shuchi Tyagi,"B.Sc.,CCS,University Meerut"
First ,01RJ034300,HISTORY                                           PHILOSOPHY                                        SANSKRIT                                          ,Shri Muktanand Agrawal,"BA,SMK Campus Jai Narayan Vyas Uni "
 ,01RJ034300,                                                  SANSKRIT                                                                                            ,Shri Muktanand Agrawal,"MA,Centre for Sanskrit Studies JNU Delhi"
First ,01RJ108C03,PHYSICS                                           CHEMISTRY                                         MATHEMATICS                                       ,Shri Kumar Pal Gautam,"B.Sc.,Agra College Dr.B.R.Ambedkar Univ Agra(UP)"
First ,01RJ108C03,MATHEMATICS                                                                                                                                           ,Shri Kumar Pal Gautam,"MA,Agra College Dr.B.R.Ambedkar Univ. Agra"
First ,01RJ109C03,ELECTRONICS                                       COMMUNICATION                                                                                       ,Shri Inderjeet Singh,"B E                                               ,DELHI COLLEGE OF ENGINEERING DELHI UNIVERSITY Delhi"
First ,01RJ109P01,CHEMISTRY                                         PHYSICS                                           MATHEMATICS                                       ,Dr. Vishwa Mohan Sharma,"B.Sc.(Hons),P.K. Roy Memorial College V.Bhave University Hazaribagh"
First with Distinction,01RJ109P01,ENVIRONMNTL SC.                                                                                                                                       ,Dr. Vishwa Mohan Sharma,"M.Sc.,S.E.S, JNU Jwahar Lal Nehru University New Delhi"
Grade 'A',01RJ109P01,ENVIRONMNTL SC.                                                                                                                                       ,Dr. Vishwa Mohan Sharma,"M.PHIL                                            ,S.E.S JNU Jwahar Lal Nehru University New Delhi"
 ,01RJ109S01,ELECTRICAL ENGG                                                                                                    ,Shri Prakash Rajpurohit,"B TECH                                            ,IIT Delhi Delhi"
First ,01RJ109S02,BIOLOGY                                           CHEMISTRY                                         PHYSICS                                           ,Shri Jitendr Kumar Soni,"B.Sc.,SGN Khalsa college MDS University Ajmer"
First ,01RJ109S02,EDUCATION                                                                                                                                             ,Shri Jitendr Kumar Soni,"B ED                                              ,MC Khalsa Col.of Edu. Jammu University "
First ,01RJ109S02,POLITICAL SC.                                                                                                                                         ,Shri Jitendr Kumar Soni,"MA,Univ. of Bikaner "
First ,01RJ109S03,ELECTRICAL ENGG                                                                                                    ,Ms. Neha Giri,"B TECH                                            ,B.B.D.N.I.T.M. UP Tech. Univ "
Second ,01RJ110S01,PHILOSOPHY                                                                                                                                            ,Shri Haulianlal Guite,"B.A. (Hons),St Stephens College University of Delhi "
First ,01RJ110S02,SCIENCE                                                                                                                                               ,Ms. Shivangi Swarnkar,"B.Sc.,Kanoria Mahila Mahavidyalaya Rajasthan University Rajasthan"
First ,01RJ110S03,AGRI.ENGG.                                                                                                                                            ,Shri Nakate Shivprasad Madan,"B TECH                                            ,DV Patil College Mahatma Phule Krishi Vidyapeeth Rahuri"
First ,01RJ110S04,COMMERCE                                                                                                                                              ,Shri Abhimanyu Kumar,"B.Com.(Hons),Moti Lal Nehru College Delhi University Delhi"
First ,01RJ110S05,ELECTRONICS                                       COMMUNICATION                                                                                       ,Shri Sandesh Nayak,"B E                                               ,BMS College of Enigineering VTU Belgaum"
First ,01RJ110S06,CHEMISTRY                                         MATHEMATICS                                       PHYSICS                                           ,Shri Bhagwati Prasad Kalal,"B.Sc.,Vigyan Mahavidyala Mo L Sukhodia University Udaipur"
First with Distinction,01RJ110S06,MATHEMATICS                                                                                                                                           ,Shri Bhagwati Prasad Kalal,"M.Sc.,Mohanlal Sukhadia Uni Udaipur"
Third,01RJ110S07,PSYCHOLOGY                                                                                                                                            ,Ms. Anupama Jorwal,"B.A. (Hons),Jesus and Mary College Delhi Unversity Delhi"
Second ,01RJ110S07,PSYCHOLOGY                                                                                                                                            ,Ms. Anupama Jorwal,"MA,University of Rajasthan Jaipur"
First with Distinction,01RJ111S01,SOCIOLOGY                                                                                                                                             ,Ms. Rukmani Riar,"B.Sc.,Guru Nanak Dev University Guru Nanak Dev University Amritsar"
First with Distinction,01RJ111S01,FINCL MGT                                                                                                                                             ,Ms. Rukmani Riar,"MA,Tata Institute of Social Sciences Tata Institute of Social Sciences Mumbai"
First with Distinction,01RJ111S02,ELECTRICAL ENGGELECTRONICS                                                                                         ,Shri Himanshu Gupta,"B E                                               ,BITS Pilani BITS Pilani Jhunjhunu"
First ,01RJ111S03,COMMERCE                                          ACCOUNTANCY                                                                                         ,Shri Namit Mehta,"B.Com.,Jai Narain Vyas University Jodhpur"
First ,01RJ111S03,FINCL MGT                                                                                                                                             ,Shri Namit Mehta,"PG DIPLOMA                                        ,Jai Narain Vyas University Jodhpur"
 ,01RJ111S03,ACCOUNTANCY                                       MANAGEMENT                                                                                          ,Shri Namit Mehta,"CHARTERED ACCTT.                                  ,The Institute of Chartered Accounts of India "
Pass,01RJ111S03,COMPANY LAW                                       HUMAN RES MNGMT                                                                                     ,Shri Namit Mehta,"COMPANY SECRETARY                                 ,The Institute of Company Secretaries of India "
First ,01RJ111S03,BUSINESS ADMN.                                                                                                                                        ,Shri Namit Mehta,"M.Com.,Jai Narain Vyas University Jodhpur"
First ,01RJ111S04,COMMERCE                                                                                                                                              ,Shri Om Prakash Kasera,"B.Com.,Commerce College University of Rajasthan Jaipur"
First ,01RJ111S04,FINANCE                                                                                                                                               ,Shri Om Prakash Kasera,"MBA                                               ,R A Podar Instt of Management University of Rajasthan Jaipur"
First ,01RJ111S04,COST ACCT                                                                                                                                             ,Shri Om Prakash Kasera,"ICWAI                                             ,ICWAI ICWAI "
First ,01RJ111S04,COMMERCIAL LAW                                    ECONOMICS                                                                                           ,Shri Om Prakash Kasera,"COMPANY SECRETARY                                 ,The Instt of Company LSecretaries of India Lodhi Road,New Delhi"
 ,01RJ111S04,FINCL MGT                                         MARKETING                                                                                           ,Shri Om Prakash Kasera,"CHARTERED ACCTT.                                  ,The Instt.of Chartered Accounts of India Kolkata"
 ,01RJ111S05,SURGERY                                           MEDICINE                                                                                            ,Shri Vikram Jindal,"MBBS                                              ,Maulana Azad Medical  College University of Delhi South Campus "
 ,01RJ111S06,MARINE.ENGG.                                                                                                                                          ,Shri Avichal Chaturvedi,"B TECH                                            ,IIT Kanpur "
First ,01RJ111S07,LAW                                                                                                                                                   ,Shri Sidharth Sihag,"LL.B.                                             ,NALSAR University of Law HYDerabad"
First ,01RJ112A07,POLITICAL SC.                                                                                                                                         ,Ms. Namrata Vrishni,"GRADUATE                                          ,Lady Shriram College for Women University of Delhi Delhi"
