division,idno,subjects,name,degree
First ,01AM022500,ECOLOGY                                           ENVIRONMNTL SC.                                                                                     ,Shri Sameer Kumar Khare,P.G.
First ,01AM022500,FINCL MGT                                                                                                                                             ,Shri Sameer Kumar Khare,DIPLOMA                                           
First ,01AM022500,BUSINESS ADMN.                                    FINANCE                                                                                             ,Shri Sameer Kumar Khare,P.G.
 ,01AM021300,BUSINESS ADMN.                                                                                                                                        ,Shri M Srinivas Rao,MBA                                               
Ordinary ,01AM021300,ENGINEERIING                                                                                                                                          ,Shri M Srinivas Rao,B TECH                                            
First ,01AM022701,PHYSICS                                                                                                                                               ,Shri Paban Kumar Borthakur,"GRADUATE                                          ,St Stephens College Delhi "
First ,01AM022701,PHYSICS                                                                                                                                               ,Shri Paban Kumar Borthakur,"P.G.,Delhi "
First ,01AM022701,FINCL MGT                                         FINCL MGT                                                                                           ,Shri Paban Kumar Borthakur,"MBA                                               ,IGNOU New Delhi"
First ,01AM023000,MANAGEMENT                                                                                                                                            ,Shri Pankaj Jain,P.G.
Second ,01AM023000,COMMERCE                                                                                                                                              ,Shri Pankaj Jain,GRADUATE                                          
First ,01AM023000,COST ACCT                                                                                                                                             ,Shri Pankaj Jain,DIPLOMA                                           
First ,01AM023100,MODERN IND.HIST                                                                                                                                       ,Shri Syedain Abbasi,P.G.
Second ,01AM023300,HISTORY                                                                                                                                               ,Shri Hemanta Narzary,GRADUATE                                          
Second ,01AM023300,HISTORY                                                                                                                                               ,Shri Hemanta Narzary,P.G.
Second ,01AM023400,HISTORY                                           POLITICAL SC.                                     HINDI                                             ,Shri Pramod Kumar Tiwari,GRADUATE                                          
Second ,01AM023500,HISTORY                                                                                                                                               ,Shri Vijayendra,GRADUATE                                          
Ordinary ,01AM023600,ELECTRICAL ENGG                                                                                                    ,Shri Alok Khare,GRADUATE                                          
First ,01AM023700,MECH.ENGG.                                                                                                                                            ,Shri Biswaranjan Samal,GRADUATE                                          
First ,01AM023700,INDL ENGG.                                                                                                                                            ,Shri Biswaranjan Samal,P.G.
Ordinary ,01AM023714,N.A.                                                                                                                                                  ,Shri Hemanga Kishore Sharma,GRADUATE                                          
First ,01AM023800,MEDICINE                                          SURGERY                                                                                             ,Dr. Ashish Kumar Bhutani,MBBS                                              
Gold Medalist,01AM024100,AGRICULTURE                                       AGRONOMY                                                                                            ,Dr. Ravi Kota,Ph.D
First ,01AM024200,ELECTRICAL ENGG                                                                                                    ,Shri Ajay Tewari,B TECH                                            
First ,01AM024300,ELECTRICAL ENGG                                                                                                    ,Shri Kailash Chand Samria,B TECH                                            
First ,01AM024400,FINANCE                                           MARKETING                                                                                           ,Shri Donald Philips Wahlang,MBA                                               
First ,01AM024600,ELECTRICAL ENGG                                                                                                    ,Shri Niraj Verma,B TECH                                            
 ,01AM024600,Public Mgmt & Policy                                                                                                    ,Shri Niraj Verma,"P.G.,IIM Ahmedabad"
First ,01AM024500,PHYSICS                                                                                                                                               ,Shri Sanjay Lohiya,GRADUATE                                          
First ,01AM024700,COMMERCE                                                                                                                                              ,Shri A. P. Das Joshi,GRADUATE                                          
First ,01AM024800,HISTORY (HONS)                                                                                                                                        ,Shri Samir Kumar Sinha,"GRADUATE                                          ,Hindu College Delhi "
Second ,01AM024800,HISTORY                                                                                                                                               ,Shri Samir Kumar Sinha,"P.G.,Hindu College Delhi "
Outstanding,01AM024800,Public Mgmt & Policy                                                                                                    ,Shri Samir Kumar Sinha,"PG DIPLOMA                                        ,IIM, Ahmedabad "
First ,01AM024900,MECH.ENGG.                                                                                                                                            ,Shri Rajeev Chandra Joshi,B TECH                                            
First ,01AM025000,ART                                                                                                                                                   ,Ms. L.. S. Changsan,GRADUATE                                          
First ,01AM025100,HISTORY                                                                                                                                               ,Ms. Archana Varma,GRADUATE                                          
First ,01AM025100,HISTORY                                                                                                                                               ,Ms. Archana Varma,P.G.
First ,01AM025200,AGRICULTURE                                                                                                                                           ,Dr. M Ariz Ahammed,"B.Sc.(Agri),Acharya NG Ranga Agricultural University(ANGRAU) ANGRAU Andhra Pradesh Baptala"
First ,01AM025200,GENETICS                                          PLANT BREEDING                                                                                      ,Dr. M Ariz Ahammed,"M.Sc.,ANGRAU ANGRAU Andhra Pradesh Baptala"
First ,01AM025200,GENETICS                                                                                                                                              ,Dr. M Ariz Ahammed,"Ph.D,IARI New Delhi"
First ,01AM025300,ELECTRICAL ENGG                                                                                                    ,Shri Prateek Hajela,B TECH                                            
Second ,01AM025400,HISTORY                                                                                                                                               ,Shri Rajesh Prasad,GRADUATE                                          
Second ,01AM025400,HISTORY                                                                                                                                               ,Shri Rajesh Prasad,P.G.
Second ,01AM025500,HOMEOPATHY                                                                                                                                            ,Shri P Shakil Ahammed,P.G.
Second ,01AM023200,ECONOMICS                                                                                                                                             ,Shri Ravi Shankar Prasad,P.G.
First ,01AM023200,ECONOMICS                                                                                                                                             ,Shri Ravi Shankar Prasad,GRADUATE                                          
First ,01AM025600,MECH.ENGG.                                                                                                                                            ,Shri B Kalyan Chakravarthy,B TECH                                            
Ordinary ,01AM025600,MANAGEMENT                                                                                                                                            ,Shri B Kalyan Chakravarthy,P.G.
Second ,01AM025700,MEDICINE                                          CHEMISTRY                                         BIO-PHYSICS                                       ,Dr. John Berchmans Ekka,MBBS                                              
Ordinary ,01AM025711,N.A.                                                                                                                                                  ,Shri J Lyngdoh,GRADUATE                                          
Ordinary ,01AM025713,N.A.                                                                                                                                                  ,Ms. M H K Marak,GRADUATE                                          
First ,01AM025800,ELECTRONICS                                       COMMN.ENGG                                                                                          ,Shri Anurag Goel,B E                                               
First ,01AM026000,PHILOSOPHY                                        POLITICAL SC.                                     HISTORY                                           ,Shri Krishna Kumar Dwivedi,GRADUATE                                          
First ,01AM026000,HISTORY                                                                                                                                               ,Shri Krishna Kumar Dwivedi,P.G.
First ,01AM026100,COMPUTER SC                                                                                                                                           ,Shri Mukesh C Sahu,B TECH                                            
Ordinary ,01AM026111,N.A.                                                                                                                                                  ,Shri B Dhar,GRADUATE                                          
First ,01AM026200,ELECTRONICS                                       COMMUNICATION                                                                                       ,Shri Pamu Sampath Kumar,B E                                               
Ordinary ,01AM026311,N.A.                                                                                                                                                  ,Shri E P Kharbhih,GRADUATE                                          
Ordinary ,01AM026312,N.A.                                                                                                                                                  ,Shri Tanington Dkhar,GRADUATE                                          
Ordinary ,01AM026313,N.A.                                                                                                                                                  ,Shri Mahtabuddin Ahmad,GRADUATE                                          
Ordinary ,01AM026316,N.A.                                                                                                                                                  ,Shri Freeman Kharlyngdoh,GRADUATE                                          
Ordinary ,01AM026317,N.A.                                                                                                                                                  ,Ms. Lawanda Diengdoh,GRADUATE                                          
First ,01AM026400,ENGLISH                                           HINDI                                             BOTANY                                            ,Shri Shyam Jagannathan,GRADUATE                                          
 ,01AM026400,BIO CHEMISTRY                                                                                                                                         ,Shri Shyam Jagannathan,P.G.
