ID,Name,Service,Cadre,Reference_Value,Qualification,Subject,Division,Source
KL002900,Shri S Narayanaswamy,Indian Administrative Service,Kerala,0,Graduate,Chemistry,First,Supremo
KL002900,Shri S Narayanaswamy,Indian Administrative Service,Kerala,2,P.G.,Chemistry,First,Supremo
KN005300,Shri Ksn Murthy,Indian Administrative Service,Karnataka,0,Graduate,Botany,First,Supremo
KN005300,Shri Ksn Murthy,Indian Administrative Service,Karnataka,2,P.G.,Botany,First,Supremo
AM003800,Shri J C Nampui,Indian Administrative Service,Assam Meghalya,0,Graduate,English,First,Supremo
OR006000,Shri Tu V Sekharan,Indian Administrative Service,Odisha,0,Graduate,Economics,Second,Supremo
MH008900,Shri K S R Krishnan,Indian Administrative Service,Maharashtra,0,Graduate,Physics,First,Supremo
MH008900,Shri K S R Krishnan,Indian Administrative Service,Maharashtra,2,P.G.,Mathematics,First,Supremo
MH008900,Shri K S R Krishnan,Indian Administrative Service,Maharashtra,4,P.G.,Physics,Ordinary,Supremo
MH009100,Shri John Innocent,Indian Administrative Service,Maharashtra,0,Graduate,Chemistry,First,Supremo
MH009300,Shri Kg Paranjpe,Indian Administrative Service,Maharashtra,0,Graduate,Law,Second,Supremo
MH009300,Shri Kg Paranjpe,Indian Administrative Service,Maharashtra,2,Graduate,Philosophy,First,Supremo
MP008800,Shri S C Vaish,Indian Administrative Service,Madhya Pradesh,0,Certificate,French,Ordinary,Supremo
MP008800,Shri S C Vaish,Indian Administrative Service,Madhya Pradesh,2,Graduate,History,Second,Supremo
MP008800,Shri S C Vaish,Indian Administrative Service,Madhya Pradesh,4,Graduate,Law,Ordinary,Supremo
MP008800,Shri S C Vaish,Indian Administrative Service,Madhya Pradesh,6,P.G.,Economics,First,Supremo
MP008900,Shri Mk Chaturvedi,Indian Administrative Service,Madhya Pradesh,0,Graduate,History,First,Supremo
MP009000,Shri Rs Khanna,Indian Administrative Service,Madhya Pradesh,0,Graduate,Economics,Second,Supremo
MP009000,Shri Rs Khanna,Indian Administrative Service,Madhya Pradesh,2,P.G.,Economics,First,Supremo
MP009100,Shri Nv Krishnan,Indian Administrative Service,Madhya Pradesh,0,Graduate,Zoology,Second,Supremo
MP009300,Shri J Swarup,Indian Administrative Service,Madhya Pradesh,0,Graduate,Physics,First,Supremo
MP009300,Shri J Swarup,Indian Administrative Service,Madhya Pradesh,2,P.G.,Physics,First,Supremo
OR006200,Shri K Srinivasan,Indian Administrative Service,Odisha,0,Graduate,Commerce,Third,Supremo
OR006200,Shri K Srinivasan,Indian Administrative Service,Odisha,2,Graduate,Economics,Second,Supremo
RJ006000,Shri Al Roongta,Indian Administrative Service,Rajasthan,0,Graduate,English Lit,First,Supremo
RJ006000,Shri Al Roongta,Indian Administrative Service,Rajasthan,2,P.G.,Economics,First,Supremo
RJ006100,Shri Rk Saxena,Indian Administrative Service,Rajasthan,0,Graduate,Commerce,First,Supremo
RJ006100,Shri Rk Saxena,Indian Administrative Service,Rajasthan,2,Graduate,Law,First,Supremo
RJ006100,Shri Rk Saxena,Indian Administrative Service,Rajasthan,4,P.G.,Economics,First,Supremo
RJ006200,Shri Vc Pande,Indian Administrative Service,Rajasthan,0,Graduate,Physics,Second,Supremo
RJ006200,Shri Vc Pande,Indian Administrative Service,Rajasthan,2,P.G.,English,Second,Supremo
RJ006200,Shri Vc Pande,Indian Administrative Service,Rajasthan,4,P.G.,Physics,Second,Supremo
